"EventID","PSComputerName","RunspaceId","PSShowComputerName","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3203","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'107', '\??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","107 \??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\Settings\settings.dat 2 1","16","27/02/2026 8:27:14","27/02/2026 8:27:14","NT AUTHORITY\SYSTEM",,
"10016","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3202","(0)","0","Warning","No se encontró la descripción del id. de evento '10016' en el origen 'DCOM'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'específico de la aplicación', 'Local', 'Activación', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'DESKTOP-M7CM9BE', '2-DAW', 'S-1-5-21-374513637-3669074883-229338491-1001', 'LocalHost (con LRPC)', 'No disponible', 'No disponible'","DCOM","específico de la aplicación Local Activación {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} {15C20B67-12E7-4BB6-92BB-7AFF07997402} DESKTOP-M7CM9BE 2-DAW S-1-5-21-374513637-3669074883-229338491-1001 LocalHost (con LRPC) No disponible No disponible","10016","27/02/2026 8:26:57","27/02/2026 8:26:57","DESKTOP-M7CM9BE\2-DAW",,
"19","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3201","(1)","1","Information","Instalación correcta: Windows instaló correctamente la siguiente actualización: Actualización de inteligencia de seguridad para Microsoft Defender Antivirus - KB2267602 (versión 1.445.270.0) - Canal actual (ampliado)","Microsoft-Windows-WindowsUpdateClient","Actualización de inteligencia de seguridad para Microsoft Defender Antivirus - KB2267602 (versión 1.445.270.0) - Canal actual (ampliado) {b9a72c85-50ee-4746-9211-fbe9004a238d} 200 {7971f918-a847-4430-9279-4a52d1efe18d}","19","27/02/2026 8:11:38","27/02/2026 8:11:38","NT AUTHORITY\SYSTEM",,
"43","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3200","(1)","1","Information","Instalación iniciada: Windows ha comenzado a instalar la actualización siguiente: Actualización de inteligencia de seguridad para Microsoft Defender Antivirus - KB2267602 (versión 1.445.270.0) - Canal actual (ampliado)","Microsoft-Windows-WindowsUpdateClient","Actualización de inteligencia de seguridad para Microsoft Defender Antivirus - KB2267602 (versión 1.445.270.0) - Canal actual (ampliado) {b9a72c85-50ee-4746-9211-fbe9004a238d} 200","43","27/02/2026 8:11:30","27/02/2026 8:11:30","NT AUTHORITY\SYSTEM",,
"44","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3199","(1)","1","Information","Windows Update comenzó a descargar una actualización.","Microsoft-Windows-WindowsUpdateClient","Actualización de inteligencia de seguridad para Microsoft Defender Antivirus - KB2267602 (versión 1.445.270.0) - Canal actual (ampliado) {b9a72c85-50ee-4746-9211-fbe9004a238d} 200","44","27/02/2026 8:11:30","27/02/2026 8:11:30","NT AUTHORITY\SYSTEM",,
"2","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3198","(0)","0","Information","Secure Trustlet Id 6 and Pid 3476 stopped with status 0.","Microsoft-Windows-IsolatedUserMode","6 3476 0","2","27/02/2026 8:09:34","27/02/2026 8:09:34","NT AUTHORITY\SERVICIO LOCAL",,
"2","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3197","(0)","0","Information","Secure Trustlet Id 4 and Pid 5620 stopped with status 0.","Microsoft-Windows-IsolatedUserMode","4 5620 0","2","27/02/2026 8:04:53","27/02/2026 8:04:53","NT AUTHORITY\SYSTEM",,
"1","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3196","(0)","0","Information","Secure Trustlet \??\C:\WINDOWS\system32\BioIso.exe Id 4 and Pid 5620 started with status 0.","Microsoft-Windows-IsolatedUserMode","4 5620 0 \??\C:\WINDOWS\system32\BioIso.exe","1","27/02/2026 8:01:34","27/02/2026 8:01:34","NT AUTHORITY\SYSTEM",,
"5","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3195","(0)","0","Information","Secure Trustlet NULL Id 0 and Pid 0 started with status 0.","Microsoft-Windows-IsolatedUserMode","0 0 0 NULL","5","27/02/2026 8:01:34","27/02/2026 8:01:34","NT AUTHORITY\SYSTEM",,
"1","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3194","(5)","5","Information","Posible detección de CVE: 2026-02-27T06:56:34.1804065Z
Información adicional: 2026-02-27T06:56:34.1784717Z

Este evento se genera cuando se detecta un intento de aprovechar una vulnerabilidad conocida (2026-02-27T06:56:34.1804065Z).
Este evento lo genera un proceso de modo de usuario.
","Microsoft-Windows-Kernel-General","2026-02-27T06:56:34.1804065Z 2026-02-27T06:56:34.1784717Z 1 1 \Device\HarddiskVolume3\Windows\System32\svchost.exe 12736 2026-02-27T07:56:34.1804065Z -60 false false","1","27/02/2026 7:56:34","27/02/2026 7:56:34","NT AUTHORITY\SERVICIO LOCAL",,
"24","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3193","(11)","11","Information","No se encontró la descripción del id. de evento '24' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'0', '-60', '1', '0', '0'","Microsoft-Windows-Kernel-General","0 -60 1 0 0","24","27/02/2026 7:56:34","27/02/2026 7:56:34","NT AUTHORITY\SERVICIO LOCAL",,
"35","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3192","(0)","0","Information","El servicio de hora está sincronizando la hora del sistema con el origen de la hora time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.137.137.111:123) con el id. de referencia 1871284531. El número de capa local actual es 4.","Microsoft-Windows-Time-Service","time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.137.137.111:123) 1871284531 4","35","27/02/2026 7:56:34","27/02/2026 7:56:34","NT AUTHORITY\SERVICIO LOCAL",,
"37","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3191","(0)","0","Information","El proveedor de hora NtpClient está recibiendo datos de hora  válidos desde time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.137.137.111:123).","Microsoft-Windows-Time-Service","time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.137.137.111:123)","37","27/02/2026 7:56:18","27/02/2026 7:56:18","NT AUTHORITY\SERVICIO LOCAL",,
"16","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3190","(0)","0","Information","No se encontró la descripción del id. de evento '16' en el origen 'Microsoft-Windows-Kernel-General'. Es posible que el equipo local no tenga la información de registro o los archivos DLL de mensaje necesarios para mostrar el mensaje, o que usted no tenga permiso de acceso a los mismos. La siguiente información es parte del evento:'107', '\??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.StartExperiencesApp_8wekyb3d8bbwe\Settings\settings.dat', '3', '1'","Microsoft-Windows-Kernel-General","107 \??\C:\Users\2-DAW\AppData\Local\Packages\Microsoft.StartExperiencesApp_8wekyb3d8bbwe\Settings\settings.dat 3 1","16","27/02/2026 7:56:08","27/02/2026 7:56:08","DESKTOP-M7CM9BE\2-DAW",,
"1038","localhost","1eff0e15-e0ab-4527-8953-595c825eeb13","False","DESKTOP-M7CM9BE","System.Byte[]","3189","(0)","0","Information","Las comprobaciones de estado de la atestación previa confirman que se espera que el dispositivo supere la atestación.
 Consulte C:\WINDOWS\Logs\MeasuredBoot\0000000027-0000000002.json para obtener información detallada sobre las comprobaciones realizadas.","Microsoft-Windows-TPM-WMI","C:\WINDOWS\Logs\MeasuredBoot\0000000027-0000000002.json","1038","27/02/2026 7:55:38","27/02/2026 7:55:38","NT AUTHORITY\SYSTEM",,
